Department,Min Value,Max Value,Median Value,Count < 15hrs,Count > 15hrs,Median <= 15hrs,Puntaje Mejor Locacion
Moquegua,2,11,3,5,0,3.0,80.83
Tacna,2,13,5,5,0,5.0,79.17
Puno,4,7,5,5,0,5.0,79.17
Arequipa,3,9,5,5,0,5.0,79.17
Cusco,7,13,9,5,0,9.0,75.83
Puerto Maldonado,10,16,13,4,1,11.5,58.0
